$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,<$bug
-0.31905,0.82132,-0.19971,-0.18221,-0.45698,-0.15155,-0.19702,0.0815,-0.29118,-1.18398,-0.42016,0.81166,0.30069,1.23725,-0.49179,1.00562,0.42033,-0.31336,-0.45689,-0.54597,0
-0.40834,-0.74968,-0.19971,-0.35987,-0.65701,-0.1439,-0.19702,-0.63219,-0.3897,-0.60653,-0.56748,0.81166,0.30069,-0.95963,0.03724,-0.64196,-0.35375,-0.68161,-0.45689,-0.6981,0
1.02034,1.60682,-0.19971,0.66166,2.94352,0.12353,-0.1509,2.79351,0.59552,-0.36339,1.78956,0.81166,-0.51668,0.77505,-1.10634,5.94836,1.58146,0.76628,0.25309,0.06255,0
-0.49763,0.03582,-0.19971,-0.1378,0.02309,-0.14581,-0.1509,-0.06124,-0.48822,1.24132,0.27109,-1.27607,-0.51668,0.82925,0.66703,1.00562,0.80737,3.58671,4.51302,6.65483,1
-0.05117,-0.74968,-0.19971,0.61725,-0.05692,-0.10952,0.77159,-0.48945,-0.09413,-0.73852,0.33341,0.81166,-0.51668,-0.95963,-0.90746,-0.64196,-0.35375,0.8144,-0.45689,-0.31778,1
-0.49763,-0.74968,-0.19971,-0.22663,-0.73702,-0.14581,-0.01252,-0.63219,-0.3897,1.24132,-0.6468,-1.27607,-0.51668,-0.95963,1.92663,-0.64196,-0.35375,-0.93268,-0.45689,0.06255,0
-0.67622,-0.74968,-0.19971,-0.49312,-0.77702,-0.15155,-0.24314,-0.91766,-0.68526,1.24132,-0.6128,-1.27607,-0.51668,-0.95963,1.92663,-0.64196,-0.35375,-0.68161,-0.81189,-1.45876,0
-0.22976,-0.74968,-0.19971,-0.09339,-0.17694,-0.12289,-0.1509,0.0815,-0.09413,1.24132,-0.40316,-1.27607,-0.51668,-0.95963,-0.59256,-0.64196,-0.35375,-0.37473,0.60809,0.5696,1
-0.76551,-0.74968,-0.19971,-0.49312,-0.85704,-0.15155,-0.24314,-0.91766,-0.68526,1.24132,-0.6638,-1.27607,-0.51668,-0.95963,-1.85215,-0.64196,-0.35375,-0.93268,-0.81189,-1.45876,0
-0.40834,-0.74968,-0.19971,-0.18221,-0.53699,-0.14008,-0.24314,0.0815,-0.3897,1.24132,-0.53915,-1.27607,-0.51668,-0.95963,-0.43511,-0.64196,-0.35375,-0.55607,-0.45689,-0.31778,0
0.12742,-0.74968,-0.19971,-0.00456,-0.05692,-0.06558,-0.19702,0.50971,0.20143,1.24132,-0.36917,-1.27607,-0.51668,-0.95963,-1.28534,-0.64196,-0.35375,-0.58117,-0.45689,-0.08958,1
0.12742,0.82132,-0.19971,-0.04897,0.46316,-0.10379,-0.10477,0.50971,0.00439,-1.22248,0.27109,0.81166,0.30069,1.02802,-0.71852,2.6532,0.80737,0.35618,0.25309,-0.08958,0
1.28822,0.03582,-0.19971,0.08427,1.10325,0.23242,-0.1509,0.93793,1.3837,-0.25796,0.84335,0.81166,-0.51668,0.34138,-1.18419,1.00562,0.03329,-0.08484,-0.45689,-0.13583,0
-0.05117,1.60682,-0.19971,0.30634,0.46316,-0.10952,-0.05865,1.65161,0.00439,-1.33247,0.1351,0.81166,-0.51668,1.12106,-0.67128,-0.64196,-0.35375,0.44824,-0.45689,-0.31778,0
0.03812,0.82132,-0.19971,-0.35987,-0.25695,-0.14008,-0.24314,-0.48945,0.10291,-0.92413,-0.19919,0.81166,1.11806,0.63049,-0.27766,1.00562,0.42033,-0.27244,0.25309,-0.10647,1
-0.49763,-0.74968,0.56053,-0.1378,-0.21694,-0.14581,-0.1509,-0.06124,-0.48822,1.24132,-0.11987,-1.27607,-0.51668,-0.95963,0.1632,-0.64196,-0.35375,1.66179,0.25309,1.0768,0
0.12742,1.60682,-0.19971,-0.22663,0.22312,-0.14199,-0.19702,-0.20397,0.10291,-0.79901,0.28808,0.81166,1.11806,0.84982,-0.90746,2.6532,0.42033,0.35618,0.25309,0.21468,1
-0.05117,0.03582,-0.19971,-0.18221,0.46316,-0.10188,-0.24314,0.0815,-0.58674,-0.73852,1.68758,0.81166,-0.51668,0.44342,-0.37607,1.00562,0.03329,3.31471,2.02806,4.05598,0
-0.40834,-0.74968,-0.19971,0.26193,-0.53699,-0.14008,0.26422,-0.06124,-0.29118,1.24132,-0.3635,-1.27607,-0.51668,-0.95963,-0.1517,-0.64196,-0.35375,0.09255,0.96308,1.58386,0
-0.58693,-0.74968,-0.19971,-0.35987,-0.65701,-0.14964,-0.10477,-0.63219,-0.48822,1.24132,-0.56748,-1.27607,-0.51668,-0.95963,0.66703,-0.64196,-0.35375,-0.30499,-0.1019,0.06255,0
0.48459,-0.74968,-0.19971,-0.22663,-0.13693,-0.03502,-0.1509,-0.20397,0.69404,-0.3791,-0.20486,0.81166,3.57018,-0.95963,-0.72752,-0.64196,-0.35375,-0.56204,-0.45689,-0.04607,0
0.66317,-0.74968,-0.19971,-0.1378,0.58317,-0.03311,-0.1509,-0.06124,0.39848,-0.53261,0.37874,0.81166,1.93543,-0.95963,-0.98618,-0.64196,-0.35375,-0.08007,0.60809,0.53796,0
-0.40834,1.60682,6.26232,2.43824,-0.53699,-0.14008,2.80105,-0.91766,-0.29118,0.3174,-0.54481,0.81166,-0.51668,1.42555,0.66703,-0.64196,-0.35375,-0.59791,-0.81189,-1.45876,0
-0.22976,-0.74968,-0.19971,-0.31546,-0.45698,-0.14964,-0.1509,-0.63219,-0.09413,-0.69892,-0.3805,0.81166,0.30069,-0.95963,0.03724,-0.64196,-0.35375,-0.34684,-0.1019,0.31615,0
-0.49763,-0.74968,-0.19971,-0.35987,-0.05692,-0.14581,-0.19702,-0.63219,-0.3897,1.24132,0.05578,-1.27607,-0.51668,-0.95963,0.66703,-0.64196,-0.35375,2.52661,3.80303,5.64073,0
0.21671,0.03582,-0.19971,-0.00456,-0.17694,-0.10379,-0.10477,0.65245,0.10291,-0.46794,-0.25018,0.81166,-0.51668,0.82925,-0.90746,-0.64196,-0.35375,-0.48379,-0.45689,-0.35231,1
-0.58693,-0.74968,-0.19971,-0.40429,-0.77702,-0.14964,-0.19702,-0.77492,-0.48822,1.24132,-0.65247,-1.27607,-0.51668,-0.95963,1.92663,-0.64196,-0.35375,-0.93268,-0.45689,0.06255,0
-0.49763,0.82132,-0.19971,-0.40429,-0.69701,-0.14964,-0.19702,-0.77492,-0.3897,-0.83751,-0.57881,0.81166,-0.51668,0.99188,0.66703,-0.64196,-0.35375,-0.62581,-0.45689,-0.4445,1
-0.49763,0.03582,-0.19971,-0.22663,-0.69701,-0.14581,-0.1509,-0.34671,-0.3897,1.24132,-0.60714,-1.27607,-0.51668,0.63049,0.24717,-0.64196,-0.35375,-0.7374,-0.45689,-0.4445,1
-0.31905,-0.74968,-0.19971,-0.22663,-0.25695,-0.13244,-0.10477,-0.34671,-0.29118,1.24132,-0.32384,-1.27607,-0.51668,-0.95963,-0.1517,-0.64196,-0.35375,-0.01207,-0.1019,0.97533,0
2.18115,-0.74968,-0.19971,0.26193,0.46316,0.85708,0.26422,-0.06124,2.56596,1.24132,-0.47682,-1.27607,-0.51668,-0.95963,-0.38899,-0.64196,-0.35375,-0.93268,-0.45689,0.06255,1
-0.49763,-0.74968,-0.19971,-0.27104,-0.73702,-0.14581,-0.1509,-0.34671,-0.3897,1.24132,-0.6468,-1.27607,-0.51668,-0.95963,1.0869,-0.64196,-0.35375,-0.93268,-0.45689,0.06255,0
-0.14046,-0.74968,-0.19971,0.92815,1.58332,-0.15155,-0.10477,3.64994,-0.3897,-0.65272,0.49206,0.81166,1.11806,-0.95963,-0.27766,-0.64196,-0.35375,1.36288,-0.45689,-0.37209,0
-0.05117,0.03582,-0.19971,0.08427,0.46316,-0.15155,-0.19702,0.79519,-0.3897,-0.887,1.00199,0.81166,1.11806,0.71,-0.44861,1.00562,0.03329,2.01748,-0.1019,-0.12761,1
-0.49763,-0.74968,-0.19971,-0.27104,-0.577,-0.14581,-0.24314,-0.20397,-0.3897,1.24132,-0.55615,-1.27607,-0.51668,-0.95963,0.1632,-0.64196,-0.35375,-0.48632,-0.45689,-0.4445,0
0.21671,0.82132,-0.19971,0.12869,1.66333,-0.13817,-0.19702,1.08066,-0.19265,-1.04539,1.69324,0.81166,0.30069,0.71,-0.90746,-0.64196,-0.35375,2.13351,3.09304,1.30728,0
-0.58693,1.60682,-0.19971,-0.27104,-0.577,-0.14964,-0.1509,-0.48945,-0.58674,1.24132,-0.52782,-1.27607,-0.51668,1.32185,0.66703,1.00562,0.03329,-0.01207,-0.45689,-0.6981,1
-0.67622,-0.74968,-0.19971,-0.09339,-0.81703,-0.15155,-0.05865,-0.20397,-0.58674,1.24132,-0.65813,-1.27607,-0.51668,-0.95963,1.92663,-0.64196,-0.35375,-0.93268,-0.45689,0.06255,0
-0.40834,-0.74968,-0.19971,-0.31546,-0.45698,-0.15155,-0.19702,-0.48945,-0.29118,-1.53045,-0.44283,0.81166,-0.51668,-0.95963,0.35213,-0.64196,-0.35375,-0.2213,-0.45689,-0.31778,1
0.306,0.82132,4.74184,0.484,0.1031,-0.09424,0.44872,0.22424,0.29996,-0.83751,-0.01788,0.81166,0.30069,1.32185,-0.99743,1.00562,0.80737,-0.23525,-0.1019,-0.19105,0
0.48459,0.82132,-0.19971,0.43959,0.86321,-0.03884,0.17197,0.93793,0.59552,-0.64206,0.51472,0.81166,0.30069,1.2733,-0.86386,1.00562,0.80737,0.20912,0.25309,0.27994,0
-0.40834,1.60682,2.84124,0.08427,-0.45698,-0.15155,0.26422,-0.63219,-0.3897,-0.37555,-0.44283,0.81166,0.30069,1.17448,0.50958,-0.64196,-0.35375,-0.24222,-0.45689,-0.6981,1
-0.49763,1.60682,-0.19971,-0.1378,-0.25695,-0.14581,-0.24314,0.22424,-0.58674,1.24132,-0.38617,-1.27607,-0.51668,1.30629,0.66703,2.6532,0.42033,0.3506,-0.45689,-0.4445,0
-0.67622,-0.74968,-0.19971,-0.18221,-0.81703,-0.15155,0.07973,-0.91766,-0.58674,1.24132,-0.65813,-1.27607,-0.51668,-0.95963,1.92663,-0.64196,-0.35375,-0.93268,-0.45689,0.06255,0
-0.58693,-0.74968,0.18041,-0.35987,-0.45698,-0.15155,-0.19702,-0.63219,-0.58674,-1.53045,-0.4145,0.81166,-0.51668,1.08481,0.98193,1.00562,0.03329,0.74117,-0.1019,0.06255,0
